*** 11/8/2019 1:19:53 PM VAdvantage Log  ***
01:19:53.195    (INFO)     MSession.Logout: 07:49:49.559
===========>     (SEVERE)   LDAP.Validate: Error in LDAP for user SuperUser : The server is not operational.

===========>     (SEVERE)   LDAP.Validate: Error in LDAP for user SuperUser : The server is not operational.

01:21:14.211    (INFO)     MRole.Get: AD_Role_ID=0, AD_User_ID=100, reload=True
01:21:14.211    (INFO)     MRole.Get: MRole[0,System Administrator,UserLevel=S  ,AD_Client_ID=0,AD_Org_ID=0]
01:21:14.211    (INFO)     MRole.Get: AD_Role_ID=0, AD_User_ID=100, reload=True
01:21:14.211    (INFO)     MRole.Get: MRole[0,System Administrator,UserLevel=S  ,AD_Client_ID=0,AD_Org_ID=0]
01:21:14.211    (INFO)     MTree.Load: AD_Tree_ID=121, AD_User_ID=100, Editable=False, OnClient=True
===========>     (SEVERE)   MTree.LoadNodes: Nodes w/o parent - adding to root - System.Collections.Generic.List`1[VAdvantage.Classes.VTreeNode]
01:21:14.211    (INFO)     Trx.Start: **** ConnSH637088160746271769System.Random
01:21:14.211    (INFO)     Trx.Commit: **C** ConnSH637088160746271769System.Random
----------->     (WARNING)  AccessSqlParser.GetTableInfo: More than one FROM clause - SELECT AppointmentsInfo.Appointmentsinfo_id AS ID,AppointmentsInfo.AD_Client_ID,AppointmentsInfo.AD_Org_ID  FROM AppointmentsInfo JOIN AD_User ON AD_User.AD_User_ID =AppointmentsInfo.CreatedBy WHERE AppointmentsInfo.IsRead='N' AND AppointmentsInfo.istask ='N'  AND AppointmentsInfo.AD_User_ID  = 100  UNION SELECT AppointmentsInfo.Appointmentsinfo_id AS ID, AppointmentsInfo.AD_Client_ID,AppointmentsInfo.AD_Org_ID FROM AppointmentsInfo  JOIN AD_User ON AD_User.AD_User_ID = AppointmentsInfo.CreatedBy  WHERE (AppointmentsInfo.IsRead ='Y'   AND AppointmentsInfo.AD_User_ID = 100 )  AND AppointmentsInfo.istask ='N'  AND AppointmentsInfo.startDate BETWEEN to_date('11/07/19','mm/dd/yy') and to_date('11/15/19 23.59','mm/dd/yy HH24:MI')   OR  to_date('11/08/19','mm/dd/yy')  BETWEEN  AppointmentsInfo.startDate  AND AppointmentsInfo.endDate  AND  AppointmentsInfo.CreatedBy  !=100 AND AppointmentsInfo.AD_User_ID  = 100)
----------->     (WARNING)  AccessSqlParser.GetTableInfo: Could not remove ON AppointmentsInfo JOIN AD_User ON AD_User.AD_User_ID =AppointmentsInfo.CreatedBy
----------->     (WARNING)  GridTable.GetField: Not found: 'Created'
----------->     (WARNING)  GridTable.GetField: Not found: 'CreatedBy'
01:21:54.215    (INFO)     Trx.Start: **** ConnSH637088161146362622System.Random
01:21:54.215    (INFO)     Trx.Commit: **C** ConnSH637088161146362622System.Random
01:22:07.227    (INFO)     Trx.Start: **** ConnSH637088161275330737System.Random
01:22:07.227    (INFO)     Trx.Commit: **C** ConnSH637088161275330737System.Random
----------->     (WARNING)  GridTable.GetField: Not found: 'UpdatedBy'
----------->     (WARNING)  GridTable.GetField: Not found: 'Created'
----------->     (WARNING)  GridTable.GetField: Not found: 'CreatedBy'
----------->     (WARNING)  GridTable.GetField: Not found: 'Created'
----------->     (WARNING)  GridTable.GetField: Not found: 'CreatedBy'
----------->     (WARNING)  GridTable.GetField: Not found: 'Updated'
----------->     (WARNING)  GridTable.GetField: Not found: 'UpdatedBy'
----------->     (WARNING)  GridTable.GetField: Not found: 'Created'
----------->     (WARNING)  GridTable.GetField: Not found: 'CreatedBy'
----------->     (WARNING)  GridTable.GetField: Not found: 'Updated'
----------->     (WARNING)  GridTable.GetField: Not found: 'UpdatedBy'
----------->     (WARNING)  GridTable.GetField: Not found: 'Created'
----------->     (WARNING)  GridTable.GetField: Not found: 'CreatedBy'
----------->     (WARNING)  GridTable.GetField: Not found: 'Updated'
----------->     (WARNING)  GridTable.GetField: Not found: 'UpdatedBy'
01:22:58.225    (INFO)     Trx.Start: **** ConnSH637088161780354400System.Random
01:22:58.225    (INFO)     Trx.Commit: **C** ConnSH637088161780354400System.Random
01:22:58.225    (INFO)     Trx.Start: **** ConnSH637088161787856492System.Random
01:22:58.225    (INFO)     Trx.Commit: **C** ConnSH637088161787856492System.Random
01:23:01.231    (INFO)     Trx.Start: **** ConnSH637088161815475073System.Random
01:23:01.231    (INFO)     Trx.Commit: **C** ConnSH637088161815475073System.Random
01:23:03.233    (INFO)     Trx.Start: **** ConnSH637088161836792822System.Random
01:23:03.233    (INFO)     Trx.Commit: **C** ConnSH637088161836792822System.Random
01:23:15.231    (INFO)     Trx.Start: **** ConnSH637088161957956896System.Random
01:23:15.231    (INFO)     Trx.Commit: **C** ConnSH637088161957956896System.Random
----------->     (WARNING)  GridTable.GetField: Not found: 'Created'
----------->     (WARNING)  GridTable.GetField: Not found: 'CreatedBy'
----------->     (WARNING)  GridTable.GetField: Not found: 'Updated'
----------->     (WARNING)  GridTable.GetField: Not found: 'UpdatedBy'
----------->     (WARNING)  GridTable.GetField: Not found: 'Created'
----------->     (WARNING)  GridTable.GetField: Not found: 'CreatedBy'
----------->     (WARNING)  GridTable.GetField: Not found: 'Updated'
----------->     (WARNING)  GridTable.GetField: Not found: 'UpdatedBy'
----------->     (WARNING)  GridTable.GetField: Not found: 'Created'
----------->     (WARNING)  GridTable.GetField: Not found: 'CreatedBy'
----------->     (WARNING)  GridTable.GetField: Not found: 'Updated'
----------->     (WARNING)  GridTable.GetField: Not found: 'UpdatedBy'
----------->     (WARNING)  GridTable.GetField: Not found: 'Created'
----------->     (WARNING)  GridTable.GetField: Not found: 'CreatedBy'
----------->     (WARNING)  GridTable.GetField: Not found: 'Updated'
----------->     (WARNING)  GridTable.GetField: Not found: 'UpdatedBy'
----------->     (WARNING)  GridTable.GetField: Not found: 'Created'
----------->     (WARNING)  GridTable.GetField: Not found: 'CreatedBy'
----------->     (WARNING)  GridTable.GetField: Not found: 'Updated'
----------->     (WARNING)  GridTable.GetField: Not found: 'UpdatedBy'
----------->     (WARNING)  GridTable.GetField: Not found: 'Created'
----------->     (WARNING)  GridTable.GetField: Not found: 'CreatedBy'
----------->     (WARNING)  GridTable.GetField: Not found: 'Updated'
----------->     (WARNING)  GridTable.GetField: Not found: 'UpdatedBy'
----------->     (WARNING)  GridTable.GetField: Not found: 'Created'
----------->     (WARNING)  GridTable.GetField: Not found: 'CreatedBy'
----------->     (WARNING)  GridTable.GetField: Not found: 'Updated'
----------->     (WARNING)  GridTable.GetField: Not found: 'UpdatedBy'
----------->     (WARNING)  GridTable.GetField: Not found: 'Created'
----------->     (WARNING)  GridTable.GetField: Not found: 'CreatedBy'
----------->     (WARNING)  GridTable.GetField: Not found: 'Updated'
----------->     (WARNING)  GridTable.GetField: Not found: 'UpdatedBy'
01:24:54.245    (INFO)     Trx.Start: **** ConnSH637088162940184067System.Random
01:24:54.245    (INFO)     Trx.Commit: **C** ConnSH637088162940184067System.Random
01:24:54.245    (INFO)     Trx.Start: **** ConnSH637088162948384871System.Random
01:24:54.245    (INFO)     Trx.Commit: **C** ConnSH637088162948384871System.Random
01:25:01.251    (INFO)     Trx.Start: **** ConnSH637088163017970659System.Random
01:25:01.251    (INFO)     Trx.Commit: **C** ConnSH637088163017970659System.Random
01:25:09.259    (INFO)     Trx.Start: **** ConnSH637088163099839721System.Random
01:25:10.251    (INFO)     Trx.Commit: **C** ConnSH637088163099839721System.Random
01:25:15.251    (INFO)     Trx.Start: **** GridDel637088163156417745
01:27:02.272    (INFO)     Trx.Start: **** ConnSH637088164225016349System.Random
01:27:02.272    (INFO)     Trx.Commit: **C** ConnSH637088164225016349System.Random
01:27:03.273    (INFO)     MSequence.DeleteTableSequence: True
01:27:03.273    (INFO)     CacheMgt.Reset: AD_Table: #2 (1674)
01:27:03.273    (INFO)     MTable.DeleteRecord: True
01:27:03.273    (INFO)     Trx.Commit: **C** GridDel637088163156417745
01:27:13.271    (INFO)     Trx.Start: **** ConnSH637088164336027852System.Random
01:27:13.271    (INFO)     Trx.Commit: **C** ConnSH637088164336027852System.Random
01:27:20.272    (INFO)     Trx.Start: **** GridDel637088164404721230
01:27:37.273    (INFO)     Trx.Start: **** ConnSH637088164579296751System.Random
01:27:37.273    (INFO)     Trx.Commit: **C** ConnSH637088164579296751System.Random
01:27:38.273    (INFO)     MSequence.DeleteTableSequence: True
01:27:38.273    (INFO)     CacheMgt.Reset: AD_Table: #2 (1)
01:27:38.273    (INFO)     MTable.DeleteRecord: True
01:27:38.273    (INFO)     Trx.Commit: **C** GridDel637088164404721230
*** 11/8/2019 5:22:55 PM VAdvantage Log ***
